epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2921.45,1.16271,1.09965,1.11611,0.8877,0.6701,0.72961,0.46016,1.40347,1.14458,1.17273,0.000369139,0.000369139,0.000369139
2,5755.64,1.15481,0.77095,1.09057,0.72883,0.84096,0.8678,0.53881,1.29708,0.88328,1.12292,0.000715069,0.000715069,0.000715069
3,8590.31,1.18777,0.73568,1.10228,0.75348,0.77794,0.87613,0.51491,1.36895,0.89789,1.15781,0.00103656,0.00103656,0.00103656
4,11425,1.17518,0.69962,1.09787,0.77492,0.88947,0.90249,0.56463,1.24896,0.76416,1.11228,0.00100101,0.00100101,0.00100101
5,14319.2,1.16565,0.66952,1.08914,0.78513,0.89807,0.93917,0.59193,1.24243,0.71469,1.09093,0.000964348,0.000964348,0.000964348
6,17018.9,1.15236,0.64946,1.07929,0.78135,0.91636,0.93174,0.59398,1.23037,0.71133,1.09198,0.000927685,0.000927685,0.000927685
7,19677.1,1.13517,0.63351,1.08078,0.80375,0.93273,0.93752,0.59665,1.2259,0.64834,1.10302,0.000891022,0.000891022,0.000891022
8,22365.7,1.12693,0.61766,1.07244,0.88089,0.85547,0.92595,0.57378,1.23392,0.67738,1.09264,0.000854359,0.000854359,0.000854359
9,25028,1.11676,0.60717,1.06413,0.90009,0.8862,0.95104,0.61072,1.23436,0.65422,1.08161,0.000817696,0.000817696,0.000817696
10,27630.3,1.11157,0.59949,1.06398,0.89344,0.91472,0.95538,0.62161,1.22158,0.63517,1.09088,0.000781033,0.000781033,0.000781033
11,30457.9,1.11104,0.59129,1.06299,0.92131,0.86385,0.94389,0.60849,1.20281,0.68771,1.08908,0.00074437,0.00074437,0.00074437
12,33047.7,1.09865,0.57962,1.05616,0.92071,0.89201,0.95782,0.63345,1.19743,0.63793,1.07355,0.000707707,0.000707707,0.000707707
13,35550.3,1.08087,0.56895,1.05226,0.86498,0.90931,0.96313,0.64013,1.16277,0.6006,1.0583,0.000671044,0.000671044,0.000671044
14,38111,1.0688,0.55966,1.04526,0.86294,0.89081,0.94859,0.61424,1.20849,0.64164,1.08305,0.000634381,0.000634381,0.000634381
15,40381.6,1.06207,0.5439,1.03947,0.864,0.93218,0.96674,0.64213,1.17839,0.59513,1.06684,0.000597718,0.000597718,0.000597718
16,42589.9,1.05809,0.54513,1.04024,0.95103,0.86756,0.96558,0.64114,1.17046,0.56292,1.06037,0.000561055,0.000561055,0.000561055
17,53911.2,1.05154,0.53515,1.03678,0.93419,0.89426,0.96669,0.64085,1.18745,0.58357,1.06734,0.000524392,0.000524392,0.000524392
18,56410.4,1.045,0.53132,1.02944,0.874,0.92389,0.96847,0.64392,1.17597,0.57728,1.06746,0.000487729,0.000487729,0.000487729
19,58915.9,1.0375,0.52548,1.02785,0.91257,0.90466,0.9658,0.64708,1.1568,0.56134,1.05899,0.000451066,0.000451066,0.000451066
20,61471.3,1.02586,0.51472,1.03096,0.87379,0.95488,0.96998,0.63408,1.17115,0.56981,1.06413,0.000414403,0.000414403,0.000414403
21,63957.1,1.03162,0.48485,1.02712,0.90328,0.91495,0.9654,0.63268,1.193,0.57378,1.07391,0.00037774,0.00037774,0.00037774
22,66431.7,1.02561,0.47366,1.02289,0.88795,0.92246,0.96411,0.64716,1.15835,0.5587,1.06878,0.000341077,0.000341077,0.000341077
23,68992.1,1.01714,0.46932,1.02427,0.94103,0.88056,0.96339,0.64109,1.15656,0.56484,1.05994,0.000304414,0.000304414,0.000304414
24,71537.3,0.99944,0.45789,1.01175,0.90874,0.92708,0.97002,0.65202,1.15,0.55325,1.0553,0.000267751,0.000267751,0.000267751
25,74084.4,0.99612,0.45238,1.00881,0.90818,0.90525,0.9652,0.65908,1.14867,0.57013,1.05661,0.000231088,0.000231088,0.000231088
26,76675.6,0.98403,0.44839,1.0046,0.92481,0.90198,0.9663,0.65986,1.13545,0.56944,1.051,0.000194425,0.000194425,0.000194425
27,79199.4,0.97952,0.44062,1.00391,0.92933,0.91307,0.96996,0.66198,1.13993,0.53996,1.05627,0.000157762,0.000157762,0.000157762
28,81718.4,0.96678,0.43408,0.99913,0.90404,0.93784,0.96977,0.66365,1.1451,0.53596,1.05793,0.000121099,0.000121099,0.000121099
29,84294,0.96188,0.4277,0.99738,0.90289,0.93717,0.9694,0.66639,1.13303,0.52535,1.05395,8.4436e-05,8.4436e-05,8.4436e-05
30,86784.5,0.95117,0.42172,0.99372,0.91119,0.92756,0.96896,0.6647,1.14001,0.54248,1.05546,4.7773e-05,4.7773e-05,4.7773e-05
